Lat;Long;Dronable
42.454554;-73.195302;Depot
42.409158;-73.26558;1
42.408048;-73.263985;1
42.401527;-73.26596;1
42.401527;-73.26596;1
42.417496;-73.235031;0
42.409427;-73.232339;1
42.399982;-73.268912;1
42.413344;-73.271241;1
42.422471;-73.127565;1
42.396988;-73.269061;1
42.408048;-73.263985;1
42.402132;-73.235097;1
42.408048;-73.263985;1
42.407731;-73.255255;1
42.402512;-73.324406;1
42.408048;-73.263985;1
42.401527;-73.26596;1
42.401554;-73.264236;1
42.417496;-73.235031;0
42.392324;-73.256841;1
42.401527;-73.26596;1
42.404713;-73.266854;1
42.407131;-73.258945;1
42.413344;-73.271241;1
42.416608;-73.23475;1
42.402132;-73.235097;1
42.404713;-73.266854;1
42.417442;-73.228386;1
42.413344;-73.271241;1
42.400052;-73.266404;1
42.402132;-73.235097;1
42.415323;-73.26149;1
42.425133;-73.290994;1
42.413344;-73.271241;0
42.395887;-73.258332;1
42.417423;-73.258508;1
42.402132;-73.235097;1
42.425712;-73.21087;1
42.394496;-73.268184;1
42.408103;-73.25107;1
42.401527;-73.26596;1
42.395669;-73.266939;1
42.406587;-73.266101;1
42.403527;-73.267156;1
42.413344;-73.271241;1
42.390647;-73.272356;0
42.406413;-73.263555;1
42.425968;-73.262202;1
42.401527;-73.26596;1
42.396988;-73.269061;1
42.401527;-73.26596;1
42.413255;-73.275306;1
42.407868;-73.259102;0
42.402156;-73.122853;0
42.402132;-73.235097;1
42.417245;-73.230758;0
42.423142;-73.309747;1
42.418047;-73.233586;0
42.395887;-73.258332;1
42.418322;-73.204222;1
